Flight Number,Launch Site,class,Payload Mass (kg),Booster Version,Booster Version Category
1,CCAFS SLC 40,0,6104.959411764706,Falcon 9 B0003,v1.0
2,CCAFS SLC 40,0,525.0,Falcon 9 B0005,v1.0
3,CCAFS SLC 40,0,677.0,Falcon 9 B0007,v1.0
4,VAFB SLC 4E,0,500.0,Falcon 9 B1003,v1.0
5,CCAFS SLC 40,0,3170.0,Falcon 9 B1004,v1.0
6,CCAFS SLC 40,0,3325.0,Falcon 9 B1005,v1.0
7,CCAFS SLC 40,1,2296.0,Falcon 9 B1006,v1.0
8,CCAFS SLC 40,1,1316.0,Falcon 9 B1007,v1.0
9,CCAFS SLC 40,0,4535.0,Falcon 9 B1008,v1.0
10,CCAFS SLC 40,0,4428.0,Falcon 9 B1011,v1.0
11,CCAFS SLC 40,0,2216.0,Falcon 9 B1010,v1.0
12,CCAFS SLC 40,0,2395.0,Falcon 9 B1012,v1.0
13,CCAFS SLC 40,1,570.0,Falcon 9 B1013,v1.0
14,CCAFS SLC 40,0,1898.0,Falcon 9 B1015,v1.0
15,CCAFS SLC 40,0,4707.0,Falcon 9 B1016,v1.0
16,CCAFS SLC 40,0,2477.0,Falcon 9 B1018,v1.0
17,CCAFS SLC 40,1,2034.0,Falcon 9 B1019,v1.0
18,VAFB SLC 4E,0,553.0,Falcon 9 B1017,v1.0
19,CCAFS SLC 40,0,5271.0,Falcon 9 B1020,v1.0
20,CCAFS SLC 40,1,3136.0,Falcon 9 B1021,v1.1
21,CCAFS SLC 40,1,4696.0,Falcon 9 B1022,v1.1
22,CCAFS SLC 40,1,3100.0,Falcon 9 B1023,v1.1
23,CCAFS SLC 40,1,2257.0,Falcon 9 B1025,v1.1
24,CCAFS SLC 40,1,4600.0,Falcon 9 B1026,v1.1
25,CCAFS SLC 40,0,5500.0,Falcon 9 B1028,FT
26,VAFB SLC 4E,1,9600.0,Falcon 9 B1029,FT
27,KSC LC 39A,1,2490.0,Falcon 9 B1031,FT
28,KSC LC 39A,0,5600.0,Falcon 9 B1030,FT
29,KSC LC 39A,1,5300.0,Falcon 9 B1021,v1.1
30,KSC LC 39A,1,6104.959411764706,Falcon 9 B1032,FT
31,KSC LC 39A,0,6070.0,Falcon 9 B1034,FT
32,KSC LC 39A,1,2708.0,Falcon 9 B1035,FT
33,KSC LC 39A,1,3669.0,Falcon 9 B1029,FT
34,VAFB SLC 4E,1,9600.0,Falcon 9 B1036,FT
35,KSC LC 39A,0,6761.0,Falcon 9 B1037,FT
36,KSC LC 39A,1,2910.0,Falcon 9 B1039,B4
37,VAFB SLC 4E,1,475.0,Falcon 9 B1038,FT
38,KSC LC 39A,1,4990.0,Falcon 9 B1040,B4
39,VAFB SLC 4E,1,9600.0,Falcon 9 B1041,B4
40,KSC LC 39A,1,5200.0,Falcon 9 B1031,FT
41,KSC LC 39A,1,3700.0,Falcon 9 B1042,B4
42,CCAFS SLC 40,1,2205.0,Falcon 9 B1035,FT
43,VAFB SLC 4E,1,9600.0,Falcon 9 B1036,FT
44,CCAFS SLC 40,1,6104.959411764706,Falcon 9 B1043,B4
45,CCAFS SLC 40,1,4230.0,Falcon 9 B1032,FT
46,CCAFS SLC 40,0,6092.0,Falcon 9 B1044,B4
47,VAFB SLC 4E,0,9600.0,Falcon 9 B1041,B4
48,CCAFS SLC 40,0,2760.0,Falcon 9 B1039,B4
49,CCAFS SLC 40,1,350.0,Falcon 9 B1045,B4
50,KSC LC 39A,1,3750.0,Falcon 9 B1046,B5
51,CCAFS SLC 40,0,5383.85,Falcon 9 B1040,B4
52,CCAFS SLC 40,0,2410.0,Falcon 9 B1045,B4
53,CCAFS SLC 40,1,7076.0,Falcon 9 B1047,B5
54,VAFB SLC 4E,1,9600.0,Falcon 9 B1048,B5
55,CCAFS SLC 40,1,5800.0,Falcon 9 B1046,B5
56,CCAFS SLC 40,1,7060.0,Falcon 9 B1049,B5
57,VAFB SLC 4E,1,2800.0,Falcon 9 B1048,B5
58,KSC LC 39A,1,3000.0,Falcon 9 B1047,B5
59,VAFB SLC 4E,1,4000.0,Falcon 9 B1046,B5
60,CCAFS SLC 40,0,2573.0,Falcon 9 B1050,B5
61,CCAFS SLC 40,0,4400.0,Falcon 9 B1054,B5
62,VAFB SLC 4E,1,9600.0,Falcon 9 B1049,B5
63,KSC LC 39A,1,12259.0,Falcon 9 B1051,B5
64,CCAFS SLC 40,1,2482.0,Falcon 9 B1056,B5
65,CCAFS SLC 40,1,13620.0,Falcon 9 B1049,B5
66,VAFB SLC 4E,1,1425.0,Falcon 9 B1051,B5
67,CCAFS SLC 40,1,2227.7,Falcon 9 B1056,B5
68,CCAFS SLC 40,0,6500.0,Falcon 9 B1047,B5
69,CCAFS SLC 40,1,15600.0,Falcon 9 B1048,B5
70,CCAFS SLC 40,1,5000.0,Falcon 9 B1059,B5
71,CCAFS SLC 40,1,6800.0,Falcon 9 B1056,B5
72,CCAFS SLC 40,1,15400.0,Falcon 9 B1049,B5
73,KSC LC 39A,0,6104.959411764706,Falcon 9 B1046,B5
74,CCAFS SLC 40,1,15600.0,Falcon 9 B1051,B5
75,CCAFS SLC 40,0,15400.0,Falcon 9 B1056,B5
76,CCAFS SLC 40,1,1977.0,Falcon 9 B1059,B5
77,KSC LC 39A,0,15600.0,Falcon 9 B1048,B5
78,KSC LC 39A,1,15400.0,Falcon 9 B1051,B5
